model,experiment,cleaning_level,cleaning_name,accuracy,precision,recall,f1,n_samples_before,n_samples_after,rows_dropped,cleaning_time,eval_time
LogisticRegression,baseline,0,0_Baseline,0.8176666666666667,0.8186678583058555,0.8176666666666667,0.8176420307066513,20000,20000,0,0.0,1.404181718826294
LogisticRegression,all_corruptions,1,1_Corrupted_Numerical,0.7745454545454545,0.7808654087171848,0.7745454545454545,0.7739376968651793,20000,22000,-2000,2.127754211425781,1.0751221179962158
LogisticRegression,all_corruptions,1,1_Corrupted_All,0.5178787878787878,0.5445263814437492,0.5178787878787878,0.3687487740816252,20000,22000,-2000,0.0,0.9929709434509276
LogisticRegression,all_corruptions,2,2_Cleaned_NoCleanlab,0.5162121212121212,0.5131833714419592,0.5162121212121212,0.3893856555812662,22000,22000,0,45.70572018623352,0.8316874504089355
LogisticRegression,all_corruptions,3,3_Cleaned_Cleanlab,0.7938842975206611,0.7964737484037577,0.7938842975206611,0.793504643884512,22000,20166,1834,63.41099524497986,1.8886232376098635
HistGradientBoosting,baseline,0,0_Baseline,0.8388333333333333,0.839854929852679,0.8388333333333333,0.8388123766303873,20000,20000,0,0.0,1.8513002395629885
HistGradientBoosting,all_corruptions,1,1_Corrupted_Numerical,0.8011666666666667,0.8061602115196236,0.8011666666666667,0.8006719342459198,20000,22000,-2000,0.5242452621459961,1.3112447261810305
HistGradientBoosting,all_corruptions,1,1_Corrupted_All,0.7821666666666667,0.7903447200458992,0.7821666666666667,0.7811018664399701,20000,22000,-2000,0.0,1.2375867366790771
HistGradientBoosting,all_corruptions,2,2_Cleaned_NoCleanlab,0.6050318278266141,0.6048813450235775,0.6050318278266141,0.6049160569761357,22000,21993,7,60.10229134559631,1.6266632080078125
HistGradientBoosting,all_corruptions,3,3_Cleaned_Cleanlab,0.7212212212212212,0.7226075585058752,0.7212212212212212,0.7211340834211583,22000,19980,2020,62.30448126792908,0.8322129249572754
HistGradientBoosting,baseline,0,0_Baseline,0.8388333333333333,0.839854929852679,0.8388333333333333,0.8388123766303873,20000,20000,0,0.0,2.442085266113281
HistGradientBoosting,all_corruptions,1,1_Corrupted_Numerical,0.8045,0.8081133754357733,0.8045,0.8041879341074389,20000,22000,-2000,1.11281156539917,2.706742525100708
HistGradientBoosting,all_corruptions,1,1_Corrupted_All,0.7825,0.7910894047345438,0.7825,0.7813741176470588,20000,22000,-2000,0.0,1.246896505355835
HistGradientBoosting,all_corruptions,2,2_Cleaned_NoCleanlab,0.6095786602000606,0.6103394928370856,0.6095786602000606,0.6095635934631661,22000,21992,8,64.57546806335449,0.7675504684448242
HistGradientBoosting,all_corruptions,3,3_Cleaned_Cleanlab,0.7255520504731862,0.7286108866077828,0.7255520504731862,0.7250073115268514,22000,20075,1925,65.75242018699646,1.285585880279541
HistGradientBoosting,baseline,0,0_Baseline,0.8348333333333333,0.8364347961231803,0.8348333333333333,0.8347686839532441,20000,20000,0,0.0,1.4792780876159668
HistGradientBoosting,all_corruptions,1,1_Corrupted_Numerical,0.8015,0.8054062297530006,0.8015,0.8011438386729506,20000,22000,-2000,0.3400509357452392,1.5994138717651367
HistGradientBoosting,all_corruptions,1,1_Corrupted_All,0.7851666666666667,0.7900613710858498,0.7851666666666667,0.7846174123383999,20000,22000,-2000,0.0,1.6396641731262207
HistGradientBoosting,all_corruptions,2,2_Cleaned_NoCleanlab,0.6626543692355792,0.6645388003445591,0.6626543692355792,0.6620324736332115,22000,21323,677,62.57025074958801,1.355337142944336
HistGradientBoosting,all_corruptions,3,3_Cleaned_Cleanlab,0.7298732442617335,0.7298361335417696,0.7298732442617335,0.7297208299064706,22000,19459,2541,69.10773086547852,1.2431015968322754
